chapter_no,slug,title,project,library_id,source_reference,scripture_reference,summary_seed,age_range,package_type,send_date,notes,must_include,must_avoid,start_boundary,end_boundary
089,the-brahmana-sudama-blessed-by-lord-krishna,The Brahmana Sudama Blessed by Lord Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 81,Complete Krishna Book Chapter 81,"This source-bounded episode follows The Brahmana Sudama Blessed by Lord Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 81|chronological source boundary|devotional lesson,full source quotation|material from Chapter 80|material from Chapter 82,Opening of Krishna Book Chapter 81,Conclusion of Krishna Book Chapter 81
090,lord-krishna-and-balarama-meet-the-inhabitants-of-vrindavana,Lord Krishna and Balarama Meet the Inhabitants of Vrindavana,krishna_book_bedtime,krishna_book,Krishna Book Chapter 82,Complete Krishna Book Chapter 82,"This source-bounded episode follows Lord Krishna and Balarama Meet the Inhabitants of Vrindavana and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 82|chronological source boundary|devotional lesson,full source quotation|material from Chapter 81|material from Chapter 83,Opening of Krishna Book Chapter 82,Conclusion of Krishna Book Chapter 82
091,draupadi-meets-the-queens-of-krishna,Draupadi Meets the Queens of Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 83,Complete Krishna Book Chapter 83,"This source-bounded episode follows Draupadi Meets the Queens of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 83|chronological source boundary|devotional lesson,full source quotation|material from Chapter 82|material from Chapter 84,Opening of Krishna Book Chapter 83,Conclusion of Krishna Book Chapter 83
092,sacrificial-ceremonies-performed-by-vasudeva,Sacrificial Ceremonies Performed by Vasudeva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 84,Complete Krishna Book Chapter 84,"This source-bounded episode follows Sacrificial Ceremonies Performed by Vasudeva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 84|chronological source boundary|devotional lesson,full source quotation|material from Chapter 83|material from Chapter 85,Opening of Krishna Book Chapter 84,Conclusion of Krishna Book Chapter 84
093,spiritual-instruction-for-vasudeva-and-the-return-of-the-six-sons-of-d,"Spiritual Instruction for Vasudeva, and the Return of the Six Sons of Devaki",krishna_book_bedtime,krishna_book,Krishna Book Chapter 85,Complete Krishna Book Chapter 85,"This source-bounded episode follows Spiritual Instruction for Vasudeva, and the Return of the Six Sons of Devaki and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=DRAW_AND_REFLECT,central event of Chapter 85|chronological source boundary|devotional lesson,full source quotation|material from Chapter 84|material from Chapter 86,Opening of Krishna Book Chapter 85,Conclusion of Krishna Book Chapter 85
094,the-kidnapping-of-subhadra-and-lord-krishna-s-visiting-srutadeva-and-b,"The Kidnapping of Subhadra, and Lord Krishna's Visiting Srutadeva and Bahulasva",krishna_book_bedtime,krishna_book,Krishna Book Chapter 86,Complete Krishna Book Chapter 86,"This source-bounded episode follows The Kidnapping of Subhadra, and Lord Krishna's Visiting Srutadeva and Bahulasva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=gentle child adaptation required; activity=STORY_SEQUENCE,central event of Chapter 86|chronological source boundary|devotional lesson,full source quotation|material from Chapter 85|material from Chapter 87,Opening of Krishna Book Chapter 86,Conclusion of Krishna Book Chapter 86
095,prayers-by-the-personified-vedas,Prayers by the Personified Vedas,krishna_book_bedtime,krishna_book,Krishna Book Chapter 87,Complete Krishna Book Chapter 87,"This source-bounded episode follows Prayers by the Personified Vedas and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MINI_DRAMA,central event of Chapter 87|chronological source boundary|devotional lesson,full source quotation|material from Chapter 86|material from Chapter 88,Opening of Krishna Book Chapter 87,Conclusion of Krishna Book Chapter 87
096,the-deliverance-of-lord-siva,The Deliverance of Lord Siva,krishna_book_bedtime,krishna_book,Krishna Book Chapter 88,Complete Krishna Book Chapter 88,"This source-bounded episode follows The Deliverance of Lord Siva and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=MATCHING_GAME,central event of Chapter 88|chronological source boundary|devotional lesson,full source quotation|material from Chapter 87|material from Chapter 89,Opening of Krishna Book Chapter 88,Conclusion of Krishna Book Chapter 88
097,the-superexcellent-power-of-krishna,The Superexcellent Power of Krishna,krishna_book_bedtime,krishna_book,Krishna Book Chapter 89,Complete Krishna Book Chapter 89,"This source-bounded episode follows The Superexcellent Power of Krishna and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=STORY_MAP,central event of Chapter 89|chronological source boundary|devotional lesson,full source quotation|material from Chapter 88|material from Chapter 90,Opening of Krishna Book Chapter 89,Conclusion of Krishna Book Chapter 89
098,summary-description-of-lord-krishna-s-pastimes,Summary Description of Lord Krishna's Pastimes,krishna_book_bedtime,krishna_book,Krishna Book Chapter 90,Complete Krishna Book Chapter 90,"This source-bounded episode follows Summary Description of Lord Krishna's Pastimes and presents its central turning point with child-safe clarity, chronological fidelity, and a devotional focus.",6-12,bedtime_story,,theme=Krishna's protection wisdom and loving relationships; sensitivity=standard; activity=FAMILY_MISSION,central event of Chapter 90|chronological source boundary|devotional lesson,full source quotation|material from Chapter 89|material from Chapter 91,Opening of Krishna Book Chapter 90,Conclusion of Krishna Book Chapter 90
